Random data: 
Algorithm            Sorted?  Size         Reads        Writes       Seconds     

InsertionSort        true     6,000        10,944,029   7,294,019    0.071609    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    7,000        0            0            0.000006    
Gnome Sort           true     7,000        32,269,079   8,062,020    0.153972    
Selection Sort       true     7,000        73,517,487   13,988       0.276235    
BubbleSort           true     7,000        22,018,027   8,062,020    0.145638    
InsertionSort        true     7,000        12,107,029   8,069,019    0.085727    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    8,000        0            0            0.000009    
Gnome Sort           true     8,000        34,480,079   8,614,020    0.203027    
Selection Sort       true     8,000        96,019,975   15,976       0.386506    
BubbleSort           true     8,000        24,564,027   8,614,020    0.219093    
InsertionSort        true     8,000        12,937,029   8,622,019    0.131653    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    9,000        0            0            0.000005    
Gnome Sort           true     9,000        35,803,079   8,944,020    0.168274    
Selection Sort       true     9,000        121,522,471  17,972       0.386789    
BubbleSort           true     9,000        26,888,027   8,944,020    0.179682    
InsertionSort        true     9,000        13,434,029   8,953,019    0.074540    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    10,000       0            0            0.000005    
Gnome Sort           true     10,000       36,238,079   9,052,020    0.165671    
Selection Sort       true     10,000       150,024,959  19,960       0.388820    
BubbleSort           true     10,000       28,990,027   9,052,020    0.172137    
InsertionSort        true     10,000       13,598,029   9,062,019    0.082928    

Descending data:
Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    1,000        0            0            0.000005    
Gnome Sort           true     1,000        3,997,001    999,000      0.049246    
Selection Sort       true     1,000        1,501,499    1,000        0.024702    
BubbleSort           true     1,000        2,995,003    999,000      0.046119    
InsertionSort        true     1,000        1,499,500    999,999      0.027727    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    2,000        0            0            0.000005    
Gnome Sort           true     2,000        15,994,001   3,998,000    0.118541    
Selection Sort       true     2,000        6,002,999    2,000        0.052548    
BubbleSort           true     2,000        11,990,003   3,998,000    0.125154    
InsertionSort        true     2,000        5,999,000    3,999,999    0.054299    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    3,000        0            0            0.000004    
Gnome Sort           true     3,000        35,991,001   8,997,000    0.170453    
Selection Sort       true     3,000        13,504,499   3,000        0.066105    
BubbleSort           true     3,000        26,985,003   8,997,000    0.164958    
InsertionSort        true     3,000        13,498,500   8,999,999    0.077440    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    4,000        0            0            0.000006    
Gnome Sort           true     4,000        63,988,001   15,996,000   0.243450    
Selection Sort       true     4,000        24,005,999   4,000        0.105119    
BubbleSort           true     4,000        47,980,003   15,996,000   0.458914    
InsertionSort        true     4,000        23,998,000   15,999,999   0.193053    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    5,000        0            0            0.000009    
Gnome Sort           true     5,000        99,985,001   24,995,000   0.441107    
Selection Sort       true     5,000        37,507,499   5,000        0.120961    
BubbleSort           true     5,000        74,975,003   24,995,000   0.366122    
InsertionSort        true     5,000        37,497,500   24,999,999   0.147967    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    6,000        0            0            0.000008    
Gnome Sort           true     6,000        143,982,001  35,994,000   0.495677    
Selection Sort       true     6,000        54,008,999   6,000        0.171664    
BubbleSort           true     6,000        107,970,003  35,994,000   0.561176    
InsertionSort        true     6,000        53,997,000   35,999,999   0.219628    
